あなたの「スマートフォン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「スマートフォン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「パソコン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「パソコン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,次の「IT用語」について「知っている」という言葉にチェックをしてください（知っているものすべてにチェック）。,Windowsの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,電子メールの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,WWW(ウェブ)の操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Wordの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Excelの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,PowerPointの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Officeの応用的な操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,情報倫理について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。
どちらでもない,どちらでもない,どちらでもない,全く自信がない,まあまあ興味がある,あまり自信がない,どちらでもない,あまり自信がない,Wi-Fi;LAN;無線LAN;URL;拡張子;,シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;均等割つけを行うことができる;囲い文字を設定することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;SUMなどの基本的な関数を使うことができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;
まあまあ興味がある,あまり自信がない,あまり興味がない,全く自信がない,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,どちらでもない,Wi-Fi;無線LAN;URL;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル名の変更ができる;ファイルを削除することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;メールに添付されているファイルを開くことができる;,Google検索を利用できる;ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;,どれも身についていない;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,すごく興味がある,すごく自信がある,すごく興味がある,すごく自信がある,Wi-Fi;LAN;CPU;URL;OS;拡張子;JPEG;GIF;PNG;MP3;MP4;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;サブフォルダを作成することができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルサイズを確認することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;ZIPファイルを展開することができる;USBフラッシュメモリを利用してファイルを持ち運べる;,メールを作成し、送信することができる;メールにファイルを添付して送信することができる;メール作成時に適切な件名をつけることができる;返信機能を利用して、適切な返信をすることができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像に対して文字列の折り返しが設定できる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;数式を入力して四則演算を行うことができる;セルに入力したデータを削除することができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力する際に、絶対参照を行うことができる;ワークシートを切り替えたり、新しく作成したりできる;SUMなどの基本的な関数を使うことができる;オートサム機能を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;データの並び替えや絞り込みを行うことができる;複数のセルを結合することができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;テキストボックスなどのオブジェクトを挿入できる;スライドマスターを活用することができる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;,画像や図を活用した文章を作成することができる;口頭発表を意識したスライド資料を作成できる;作成したレポートを先生にメールで提出できる;学内PCで作成したファイルを自宅のPCに持ち運べる;スマートフォンで入力した文章をPCで編集できる;,ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,どれもしらない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,あまり自信がない,どちらでもない,全く自信がない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,Wi-Fi;WWW(ウェブ);URL;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;ファイルを削除することができる;ファイルを検索することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;,Google検索を利用できる;ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;,どれも身についていない;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,あまり自信がない,すごく興味がある,すごく自信がある,すごく興味がある,まあまあ自信がある,ビット（bit）;CPU;LAN;無線LAN;Wi-Fi;WWW(ウェブ);ファイアウォール;フィッシング(phishing);URL;拡張子;OS;JPEG;GIF;PNG;dpi;MP3;MP4;AR;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;BackspaceキーとDeleteキーの使い分けができる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;,どれも身についていない;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,ウェブ上の画像に関する著作権について理解している;フィッシング詐欺について理解している;学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;
すごく興味がある,どちらでもない,まあまあ興味がある,あまり自信がない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,CPU;ビット（bit）;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;URL;OS;拡張子;GIF;PNG;dpi;ppi;VR;,シャットダウン(電源OFF)操作が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;サブフォルダを作成することができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルを削除することができる;,メールを作成し、送信することができる;メールにファイルを添付して送信することができる;返信機能を利用して、適切な返信をすることができる;転送機能を利用して、メールを転送することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;ワークシートを切り替えたり、新しく作成したりできる;数式を入力する際に、絶対参照を行うことができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;罫線（けいせん）を引くことができる;セルの幅や高さを変更することができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;スライドにページ番号を挿入することができる;,画像や図を活用した文章を作成することができる;口頭発表を意識したスライド資料を作成できる;学内PCで作成したファイルを自宅のPCに持ち運べる;スマートフォンで入力した文章をPCで編集できる;信憑性を意識した上でウェブの情報検索ができる;,ウェブ上の画像に関する著作権について理解している;フィッシング詐欺について理解している;マルウェア（不正ソフト）について理解している;
すごく興味がある,あまり自信がない,すごく興味がある,あまり自信がない,すごく興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,ビット（bit）;CPU;Wi-Fi;URL;GIF;MP3;VR;MP4;AR;WWW(ウェブ);,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;ファイル名の変更ができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルサイズを確認することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;USBフラッシュメモリを利用してファイルを持ち運べる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;表の挿入機能を利用して、標を挿入することができる;１ページの文字数や行数の設定を変更できる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;グラフを作成することができる;,新しいスライドを追加することができる;テキストボックスなどのオブジェクトを挿入できる;SmartArtを挿入することができる;配布資料形式でスライドを印刷することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,どちらでもない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,ビット（bit）;Wi-Fi;URL;,シャットダウン(電源OFF)操作が行える;,メールを作成し、送信することができる;,ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;,セルにデータを入力することができる;,どれも身についていない;,どれも身に付いていない;,ウェブ上の画像に関する著作権について理解している;
すごく興味がある,どちらでもない,あまり興味がない,あまり自信がない,まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,無線LAN;Wi-Fi;URL;,シャットダウン(電源OFF)操作が行える;Windowsの基本的なマウス操作が行える;全角文字と半角文字を適切に区別して入力できる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;,Google検索を利用できる;ウェブページをブックマークに登録することができる;ブラウザを利用してウェブページを開くことができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;番号付きリストの作成ができる;囲い文字を設定することができる;１ページの文字数や行数の設定を変更できる;,どれも身についていない;,新しいスライドを追加することができる;スライドにページ番号を挿入することができる;スライド内のインデントを変更することができる;スライドマスターを活用することができる;テキストボックスなどのオブジェクトを挿入できる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;フィッシング(phishing);URL;OS;拡張子;JPEG;GIF;PNG;dpi;ppi;MP3;VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを別のフォルダへコピーすることができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;USBフラッシュメモリを利用してファイルを持ち運べる;,CCとBCCの違いを理解している;メールに添付されているファイルを開くことができる;返信機能を利用して、適切な返信をすることができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;インデントの変更ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;画像に対して文字列の折り返しが設定できる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;他のセルを参照する数式を入力することができる;数式を入力する際に、絶対参照を行うことができる;セルの表示形式（通貨形式など）を変更できる;ワークシートを切り替えたり、新しく作成したりできる;SUMなどの基本的な関数を使うことができる;オートサム機能を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;データの並び替えや絞り込みを行うことができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;,スマートフォンで入力した文章をPCで編集できる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,どちらでもない,まあまあ興味がある,あまり自信がない,すごく興味がある,どちらでもない,どちらでもない,どちらでもない,Wi-Fi;CPU;LAN;無線LAN;WWW(ウェブ);URL;フィッシング(phishing);ファイアウォール;OS;VR;AR;,シャットダウン(電源OFF)操作が行える;Windowsの基本的なマウス操作が行える;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;,セルにデータを入力することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;,どれも身に付いていない;,マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;
すごく興味がある,あまり自信がない,まあまあ興味がある,全く自信がない,どちらでもない,どちらでもない,どちらでもない,あまり自信がない,Wi-Fi;無線LAN;WWW(ウェブ);URL;OS;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;,メールに添付されているファイルを開くことができる;署名機能を活用しメールに署名をつけることができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,まあまあ自信がある,すごく興味がある,すごく自信がある,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;URL;OS;フィッシング(phishing);GIF;PNG;dpi;MP3;MP4;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルサイズを確認することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;ZIPファイルを展開することができる;USBフラッシュメモリを利用してファイルを持ち運べる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;インデントの変更ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;ヘッダーとフッターを変更することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;数式を入力して四則演算を行うことができる;ワークシートを切り替えたり、新しく作成したりできる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;テキストボックスなどのオブジェクトを挿入できる;SmartArtを挿入することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,すごく自信がある,どちらでもない,あまり自信がない,まあまあ興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,LAN;CPU;無線LAN;Wi-Fi;WWW(ウェブ);フィッシング(phishing);URL;OS;GIF;PNG;dpi;VR;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ゴミ箱に入ったファイルを元に戻すことができる;,メールを作成し、送信することができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,どれも身についていない;,どれも身についていない;,新しいスライドを追加することができる;テキストボックスなどのオブジェクトを挿入できる;スライドにページ番号を挿入することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;フィッシング詐欺について理解している;マルウェア（不正ソフト）について理解している;ウェブ上の画像に関する著作権について理解している;
すごく興味がある,まあまあ自信がある,すごく興味がある,どちらでもない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;フィッシング(phishing);URL;OS;拡張子;JPEG;GIF;PNG;dpi;MP3;VR;AR;MP4;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;サブフォルダを作成することができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルサイズを確認することができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;ZIPファイルを展開することができる;,メールを作成し、送信することができる;署名機能を活用しメールに署名をつけることができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;ウェブページをブックマークに登録することができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;囲い文字を設定することができる;均等割つけを行うことができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;インデントの変更ができる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;画像に対して文字列の折り返しが設定できる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;他のセルを参照する数式を入力することができる;オートフィル機能を利用して数式をコピーできる;数式を入力する際に、絶対参照を行うことができる;セルの表示形式（通貨形式など）を変更できる;ワークシートを切り替えたり、新しく作成したりできる;SUMなどの基本的な関数を使うことができる;罫線（けいせん）を引くことができる;セルのフォントや背景色を変更することができる;セルの幅や高さを変更することができる;複数のセルを結合することができる;データの並び替えや絞り込みを行うことができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;改ページプレビューを活用して印刷することができる;,新しいスライドを追加することができる;スライドにページ番号を挿入することができる;スライド内のインデントを変更することができる;テキストボックスなどのオブジェクトを挿入できる;オブジェクト同士の描画順序を変更することができる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;,学術的文章の規則を踏まえてレポートを作成できる;ビジネス文章をマナーを理解した上で作成できる;画像や図を活用した文章を作成することができる;口頭発表を意識したスライド資料を作成できる;作成したレポートを先生にメールで提出できる;スマートフォンで入力した文章をPCで編集できる;信憑性を意識した上でウェブの情報検索ができる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
まあまあ興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,Wi-Fi;無線LAN;LAN;URL;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを別のフォルダへコピーすることができる;ゴミ箱に入ったファイルを元に戻すことができる;ファイルを削除することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;署名機能を活用しメールに署名をつけることができる;メールにファイルを添付して送信することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;ウェブページをブックマークに登録することができる;,中央揃えや右揃えを設定することができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;セルに入力したデータを削除することができる;グラフを作成することができる;グラフの色や軸の表示設定などを変更することができる;複数のセルを結合することができる;SUMなどの基本的な関数を使うことができる;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;フィッシング詐欺について理解している;
まあまあ興味がある,どちらでもない,どちらでもない,全く自信がない,まあまあ興味がある,どちらでもない,まあまあ興味がある,どちらでもない,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;URL;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;BackspaceキーとDeleteキーの使い分けができる;,返信機能を利用して、適切な返信をすることができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,中央揃えや右揃えを設定することができる;均等割つけを行うことができる;,罫線（けいせん）を引くことができる;セルに入力したデータを修正することができる;セルにデータを入力することができる;セルに入力したデータを削除することができる;,新しいスライドを追加することができる;SmartArtを挿入することができる;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,まあまあ自信がある,あまり興味がない,全く自信がない,すごく興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,LAN;Wi-Fi;無線LAN;WWW(ウェブ);URL;MP3;MP4;フィッシング(phishing);,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;ファイルを検索することができる;ファイルを削除することができる;,メールを作成し、送信することができる;メール作成時に適切な件名をつけることができる;返信機能を利用して、適切な返信をすることができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;,新しいスライドを追加することができる;スライド内のインデントを変更することができる;スライドにページ番号を挿入することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,ウェブ上の画像に関する著作権について理解している;
どちらでもない,どちらでもない,あまり興味がない,全く自信がない,まあまあ興味がある,どちらでもない,まあまあ興味がある,どちらでもない,Wi-Fi;無線LAN;URL;,シャットダウン(電源OFF)操作が行える;異なるソフトウェア間のコピーや貼り付けを行える;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,まあまあ自信がある,まあまあ興味がある,全く自信がない,あまり興味がない,あまり自信がない,まあまあ興味がある,まあまあ自信がある,CPU;Wi-Fi;WWW(ウェブ);GIF;PNG;VR;AR;,全角文字と半角文字を適切に区別して入力できる;ファイル名の変更ができる;ファイルを削除することができる;,メールを作成し、送信することができる;,Google検索を利用できる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;,どれも身についていない;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;
まあまあ興味がある,全く自信がない,どちらでもない,全く自信がない,まあまあ興味がある,どちらでもない,どちらでもない,あまり自信がない,URL;Wi-Fi;OS;,シャットダウン(電源OFF)操作が行える;全角文字と半角文字を適切に区別して入力できる;ファイル名の変更ができる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,箇条書きの作成ができる;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,あまり自信がない,まあまあ興味がある,全く自信がない,まあまあ興味がある,あまり自信がない,まあまあ興味がある,どちらでもない,Wi-Fi;ファイアウォール;URL;OS;GIF;VR;AR;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;ファイル名の変更ができる;ファイルを削除することができる;,どれも身についていない;,Google検索を利用できる;,中央揃えや右揃えを設定することができる;用紙サイズの変更や余白の変更ができる;画像やグラフなどを文章内に挿入することができる;,どれも身についていない;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;ウェブ上の画像に関する著作権について理解している;
